id_canton	ncanton
101	CUENCA
102	GIRON
103	GUALACEO
104	NABON
105	PAUTE
106	PUCARA
107	SAN FERNANDO
108	SANTA ISABEL
109	SIGSIG
110	OÑA
111	CHORDELEG
112	EL PAN
113	SEVILLA DE ORO
114	GUACHAPALA
115	CAMILO PONCE ENRIQUEZ
201	GUARANDA
202	CHILLANES
203	CHIMBO
204	ECHEANDIA
205	SAN MIGUEL
206	CALUMA
207	LAS NAVES
301	AZOGUES
302	BIBLIAN
303	CAÑAR
304	LA TRONCAL
305	EL TAMBO
306	DELEG
307	SUSCAL
401	TULCAN
402	BOLIVAR
403	ESPEJO
404	MIRA
405	MONTUFAR
406	SAN PEDRO DE HUACA
501	LATACUNGA
502	LA MANA
503	PANGUA
504	PUJILI
505	SALCEDO
506	SAQUISILI
507	SIGCHOS
601	RIOBAMBA
602	ALAUSI
603	COLTA
604	CHAMBO
605	CHUNCHI
606	GUAMOTE
607	GUANO
608	PALLATANGA
609	PENIPE
610	CUMANDA
701	MACHALA
702	ARENILLAS
703	ATAHUALPA
704	BALSAS
705	CHILLA
706	EL GUABO
707	HUAQUILLAS
708	MARCABELI
709	PASAJE
710	PIÑAS
711	PORTOVELO
712	SANTA ROSA
713	ZARUMA
714	LAS LAJAS
801	ESMERALDAS
802	ELOY ALFARO
803	MUISNE
804	QUININDE
805	SAN LORENZO
806	ATACAMES
807	RIOVERDE
808	LA CONCORDIA
901	GUAYAQUIL
902	ALFREDO BAQUERIZO MORENO (JUJAN)
903	BALAO
904	BALZAR
905	COLIMES
906	DAULE
907	DURAN
908	EL EMPALME
909	EL TRIUNFO
910	MILAGRO
911	NARANJAL
912	NARANJITO
913	PALESTINA
914	PEDRO CARBO
916	SAMBORONDON
918	SANTA LUCIA
919	URBINA JADO
920	YAGUACHI
921	PLAYAS
922	SIMON BOLIVAR
923	CORONEL MARCELINO MARIDUEÑA
924	LOMAS DE SARGENTILLO
925	NOBOL
927	GENERAL  ANTONIO ELIZALDE
928	ISIDRO AYORA
1001	IBARRA
1002	ANTONIO ANTE
1003	COTACACHI
1004	OTAVALO
1005	PIMAMPIRO
1006	SAN MIGUEL DE URCUQUI
1101	LOJA
1102	CALVAS
1103	CATAMAYO
1104	CELICA
1105	CHAGUARPAMBA
1106	ESPINDOLA
1107	GONZANAMA
1108	MACARA
1109	PALTAS
1110	PUYANGO
1111	SARAGURO
1112	SOZORANGA
1113	ZAPOTILLO
1114	PINDAL
1115	QUILANGA
1116	OLMEDO
1201	BABAHOYO
1202	BABA
1203	MONTALVO
1204	PUEBLOVIEJO
1205	QUEVEDO
1206	URDANETA
1207	VENTANAS
1208	VINCES
1209	PALENQUE
1210	BUENA FE
1211	VALENCIA
1212	MOCACHE
1213	QUINSALOMA
1301	PORTOVIEJO
1302	BOLIVAR
1303	CHONE
1304	EL CARMEN
1305	FLAVIO ALFARO
1306	JIPIJAPA
1307	JUNIN
1308	MANTA
1309	MONTECRISTI
1310	PAJAN
1311	PICHINCHA
1312	ROCAFUERTE
1313	SANTA ANA
1314	SUCRE
1315	TOSAGUA
1316	24 DE MAYO
1317	PEDERNALES
1318	OLMEDO
1319	PUERTO LOPEZ
1320	JAMA
1321	JARAMIJO
1322	SAN VICENTE
1401	MORONA
1402	GUALAQUIZA
1403	LIMON INDANZA
1404	PALORA
1405	SANTIAGO
1406	SUCUA
1407	HUAMBOYA
1408	SAN JUAN BOSCO
1409	TAISHA
1410	LOGROÑO
1411	PABLO SEXTO
1412	TIWINTZA
1501	TENA
1503	ARCHIDONA
1504	EL CHACO
1507	QUIJOS
1509	CARLOS JULIO AROSEMENA TOLA
1601	PASTAZA
1602	MERA
1603	SANTA CLARA
1604	ARAJUNO
1701	QUITO
1702	CAYAMBE
1703	MEJIA
1704	PEDRO MONCAYO
1705	RUMIÑAHUI
1707	SAN MIGUEL DE LOS BANCOS
1708	PEDRO VICENTE MALDONADO
1709	PUERTO QUITO
1801	AMBATO
1802	BAÑOS DE AGUA SANTA
1803	CEVALLOS
1804	MOCHA
1805	PATATE
1806	QUERO
1807	PELILEO
1808	PILLARO
1809	TISALEO
1901	ZAMORA
1902	CHINCHIPE
1903	NANGARITZA
1904	YACUAMBI
1905	YANTZAZA
1906	EL PANGUI
1907	CENTINELA DEL CONDOR
1908	PALANDA
1909	PAQUISHA
2001	SAN CRISTOBAL
2002	ISABELA
2003	SANTA CRUZ
2101	LAGO AGRIO
2102	GONZALO PIZARRO
2103	PUTUMAYO
2104	SHUSHUFINDI
2105	SUCUMBIOS
2106	CASCALES
2107	CUYABENO
2201	ORELLANA
2202	AGUARICO
2203	LA JOYA DE LOS SACHAS
2204	LORETO
2301	SANTO DOMINGO
2302	LA CONCORDIA
2401	SANTA ELENA
2402	LA LIBERTAD
2403	SALINAS
9001	LAS GOLONDRINAS
9003	MANGA DEL CURA
9004	EL PIEDRERO
9005	SANTA ROSA DE AGUA CLARA
9006	JUVAL
9007	ABDON CALDERON
9008	MATILDE ESTHER
